buy,sell,total_ret,cagr,max_dd,sharpe
1.03,0.83,12503.13,20.45,-62.55,0.57
1.03,0.82,11814.56,20.19,-63.45,0.56
1.04,0.83,11764.24,20.17,-62.38,0.56
1.03,0.81,11263.1,19.97,-63.45,0.56
1.04,0.82,11122.87,19.92,-63.26,0.56
1.05,0.83,10772.1,19.77,-62.38,0.56
1.03,0.8,10692.55,19.74,-64.72,0.55
1.04,0.81,10606.02,19.7,-63.26,0.55
1.05,0.82,10192.08,19.52,-63.26,0.55
1.04,0.8,10070.13,19.46,-64.53,0.55
1.02,0.83,9901.24,19.39,-61.87,0.55
1.05,0.81,9721.3,19.3,-63.26,0.55
1.02,0.82,9254.46,19.08,-62.66,0.54
1.05,0.8,9231.98,19.07,-64.53,0.54
1.01,0.83,9046.32,18.98,-64.9,0.54
1.02,0.81,8829.97,18.87,-62.66,0.54
1.06,0.83,8559.87,18.73,-62.13,0.53
1.01,0.82,8381.12,18.63,-65.44,0.53
1.02,0.8,8282.97,18.58,-63.85,0.53
1.03,0.79,8176.14,18.52,-67.3,0.53
1.03,0.78,8176.14,18.52,-67.3,0.53
1.06,0.82,8116.46,18.49,-62.98,0.53
1.01,0.81,8000.5,18.42,-65.44,0.53
1.03,0.77,7848.58,18.34,-68.19,0.52
1.07,0.83,7816.13,18.32,-62.13,0.53
1.08,0.83,7816.13,18.32,-62.13,0.53
1.03,0.72,7801.26,18.31,-71.08,0.52
1.03,0.75,7801.26,18.31,-71.08,0.52
1.03,0.76,7801.26,18.31,-71.08,0.52
1.03,0.73,7801.26,18.31,-71.08,0.52
1.03,0.74,7801.26,18.31,-71.08,0.52
1.06,0.81,7748.37,18.28,-62.98,0.53
1.04,0.79,7709.74,18.26,-67.08,0.52
1.04,0.78,7709.74,18.26,-67.08,0.52
1.09,0.83,7442.57,18.1,-62.13,0.52
1.01,0.8,7433.05,18.09,-65.97,0.52
1.07,0.82,7418.4,18.08,-62.98,0.52
1.08,0.82,7418.4,18.08,-62.98,0.52
1.04,0.77,7402.7,18.07,-67.98,0.52
1.04,0.72,7363.1,18.05,-70.86,0.52
1.04,0.75,7363.1,18.05,-70.86,0.52
1.04,0.73,7363.1,18.05,-70.86,0.52
1.05,0.74,7363.1,18.05,-70.86,0.52
1.05,0.75,7363.1,18.05,-70.86,0.52
1.05,0.72,7363.1,18.05,-70.86,0.52
1.05,0.76,7363.1,18.05,-70.86,0.52
1.04,0.74,7363.1,18.05,-70.86,0.52
1.05,0.73,7363.1,18.05,-70.86,0.52
1.04,0.76,7363.1,18.05,-70.86,0.52
1.06,0.8,7362.88,18.05,-64.23,0.52
1.03,0.84,7260.27,17.99,-62.55,0.52
1.07,0.81,7084.78,17.88,-62.98,0.52
1.08,0.81,7084.78,17.88,-62.98,0.52
1.05,0.78,7080.01,17.87,-67.08,0.52
1.05,0.79,7080.01,17.87,-67.08,0.52
1.09,0.82,7067.49,17.87,-62.98,0.52
1.03,0.71,7043.87,17.85,-72.31,0.51
1.05,0.77,6800.29,17.69,-67.08,0.51
1.09,0.81,6751.13,17.66,-62.98,0.51
1.06,0.73,6748.2,17.66,-70.52,0.51
1.06,0.76,6748.2,17.66,-70.52,0.51
1.06,0.72,6748.2,17.66,-70.52,0.51
1.06,0.74,6748.2,17.66,-70.52,0.51
1.06,0.75,6748.2,17.66,-70.52,0.51
1.08,0.73,6748.2,17.66,-70.52,0.51
1.08,0.76,6748.2,17.66,-70.52,0.51
1.07,0.76,6748.2,17.66,-70.52,0.51
1.07,0.75,6748.2,17.66,-70.52,0.51
1.07,0.74,6748.2,17.66,-70.52,0.51
1.07,0.73,6748.2,17.66,-70.52,0.51
1.07,0.72,6748.2,17.66,-70.52,0.51
1.08,0.75,6748.2,17.66,-70.52,0.51
1.08,0.74,6748.2,17.66,-70.52,0.51
1.08,0.72,6748.2,17.66,-70.52,0.51
1.07,0.8,6734.2,17.65,-64.23,0.51
1.08,0.8,6734.2,17.65,-64.23,0.51
1.1,0.83,6724.78,17.64,-62.0,0.51
1.05,0.71,6650.42,17.59,-72.04,0.51
1.04,0.71,6650.42,17.59,-72.04,0.51
1.04,0.84,6557.12,17.53,-62.38,0.51
1.09,0.76,6435.26,17.45,-70.33,0.5
1.09,0.72,6435.26,17.45,-70.33,0.5
1.09,0.73,6435.26,17.45,-70.33,0.5
1.09,0.75,6435.26,17.45,-70.33,0.5
1.09,0.74,6435.26,17.45,-70.33,0.5
1.09,0.8,6418.09,17.44,-64.23,0.51
1.1,0.82,6392.42,17.42,-62.83,0.51
1.02,0.79,6366.02,17.4,-66.48,0.51
1.02,0.78,6339.25,17.38,-66.47,0.51
1.03,0.85,6302.2,17.35,-62.62,0.51
1.11,0.83,6247.25,17.32,-61.9,0.51
1.1,0.81,6109.06,17.22,-62.83,0.5
1.07,0.71,6098.25,17.21,-71.63,0.5
1.06,0.71,6098.25,17.21,-71.63,0.5
1.08,0.71,6098.25,17.21,-71.63,0.5
1.0,0.83,6062.8,17.18,-72.2,0.51
1.05,0.84,6026.31,17.16,-62.38,0.5
1.02,0.84,5946.37,17.1,-61.89,0.5
1.11,0.82,5943.11,17.09,-62.73,0.5
1.02,0.77,5843.38,17.02,-67.49,0.5
1.1,0.73,5831.85,17.01,-69.92,0.5
1.1,0.74,5831.85,17.01,-69.92,0.5
1.1,0.75,5831.85,17.01,-69.92,0.5
1.1,0.76,5831.85,17.01,-69.92,0.5
1.1,0.72,5831.85,17.01,-69.92,0.5
1.09,0.71,5817.23,17.0,-71.63,0.5
1.1,0.8,5809.73,16.99,-64.07,0.5
