buy,sell,total_ret,cagr,max_dd,sharpe
1.03,0.83,68031.84,28.53,-76.37,0.67
1.04,0.83,63227.23,28.17,-76.37,0.66
1.03,0.82,61763.36,28.06,-78.55,0.66
1.03,0.81,58195.88,27.76,-78.55,0.66
1.04,0.82,57400.81,27.7,-78.55,0.66
1.05,0.83,57027.43,27.66,-76.37,0.66
1.03,0.8,55025.33,27.49,-79.55,0.65
1.04,0.81,54084.9,27.41,-78.55,0.65
1.05,0.82,51771.42,27.19,-78.55,0.65
1.02,0.83,51566.45,27.17,-76.37,0.65
1.04,0.8,51137.93,27.13,-79.55,0.65
1.05,0.81,48780.14,26.9,-78.55,0.64
1.02,0.82,46157.76,26.63,-78.55,0.64
1.05,0.8,46121.68,26.63,-79.55,0.64
1.01,0.83,45856.88,26.6,-76.13,0.64
1.02,0.81,43490.2,26.34,-78.55,0.63
1.06,0.83,43227.59,26.31,-76.37,0.64
1.02,0.8,40566.09,26.01,-79.55,0.63
1.01,0.82,40561.98,26.01,-78.32,0.63
1.03,0.79,39603.57,25.89,-81.79,0.63
1.03,0.78,39603.57,25.89,-81.79,0.63
1.06,0.82,39241.23,25.85,-78.55,0.63
1.07,0.83,38619.54,25.77,-76.37,0.63
1.08,0.83,38619.54,25.77,-76.37,0.63
1.01,0.81,38217.12,25.72,-78.32,0.62
1.03,0.77,37504.86,25.63,-81.79,0.62
1.06,0.81,36972.54,25.56,-78.55,0.62
1.04,0.79,36803.7,25.54,-81.79,0.62
1.04,0.78,36803.7,25.54,-81.79,0.62
1.09,0.83,36341.19,25.48,-76.37,0.62
1.01,0.8,35232.19,25.33,-79.34,0.62
1.03,0.84,35138.28,25.31,-76.37,0.62
1.08,0.82,35057.15,25.3,-78.55,0.62
1.07,0.82,35057.15,25.3,-78.55,0.62
1.03,0.74,35035.32,25.3,-85.26,0.62
1.03,0.73,35035.32,25.3,-85.26,0.62
1.03,0.75,35035.32,25.3,-85.26,0.62
1.03,0.76,35035.32,25.3,-85.26,0.62
1.03,0.72,35035.32,25.3,-85.26,0.62
1.06,0.8,34956.26,25.29,-79.55,0.62
1.04,0.77,34852.99,25.27,-81.79,0.62
1.05,0.78,33190.79,25.04,-81.79,0.62
1.05,0.79,33190.79,25.04,-81.79,0.62
1.07,0.81,33029.74,25.02,-78.55,0.62
1.08,0.81,33029.74,25.02,-78.55,0.62
1.09,0.82,32988.42,25.01,-78.54,0.62
1.05,0.74,32557.6,24.95,-85.26,0.61
1.05,0.73,32557.6,24.95,-85.26,0.61
1.05,0.76,32557.6,24.95,-85.26,0.61
1.04,0.73,32557.6,24.95,-85.26,0.61
1.04,0.76,32557.6,24.95,-85.26,0.61
1.05,0.75,32557.6,24.95,-85.26,0.61
1.04,0.74,32557.6,24.95,-85.26,0.61
1.04,0.75,32557.6,24.95,-85.26,0.61
1.04,0.72,32557.6,24.95,-85.26,0.61
1.05,0.72,32557.6,24.95,-85.26,0.61
1.1,0.83,32063.15,24.87,-76.1,0.61
1.05,0.77,31431.06,24.78,-81.79,0.61
1.03,0.71,31416.96,24.78,-86.78,0.61
1.07,0.8,31227.9,24.75,-79.55,0.61
1.08,0.8,31227.9,24.75,-79.55,0.61
1.09,0.81,31080.3,24.73,-78.54,0.61
1.04,0.84,30970.92,24.71,-76.37,0.61
1.03,0.85,30085.98,24.57,-74.62,0.61
1.09,0.8,29384.49,24.46,-79.55,0.61
1.11,0.83,29242.36,24.43,-75.5,0.61
1.04,0.71,29194.41,24.43,-86.78,0.6
1.05,0.71,29194.41,24.43,-86.78,0.6
1.02,0.79,29189.42,24.43,-81.79,0.61
1.08,0.75,29166.78,24.42,-85.26,0.6
1.07,0.73,29166.78,24.42,-85.26,0.6
1.08,0.72,29166.78,24.42,-85.26,0.6
1.06,0.75,29166.78,24.42,-85.26,0.6
1.06,0.74,29166.78,24.42,-85.26,0.6
1.06,0.76,29166.78,24.42,-85.26,0.6
1.06,0.73,29166.78,24.42,-85.26,0.6
1.06,0.72,29166.78,24.42,-85.26,0.6
1.07,0.76,29166.78,24.42,-85.26,0.6
1.08,0.76,29166.78,24.42,-85.26,0.6
1.07,0.74,29166.78,24.42,-85.26,0.6
1.07,0.72,29166.78,24.42,-85.26,0.6
1.08,0.73,29166.78,24.42,-85.26,0.6
1.08,0.74,29166.78,24.42,-85.26,0.6
1.07,0.75,29166.78,24.42,-85.26,0.6
1.1,0.82,29103.98,24.41,-78.3,0.61
1.02,0.78,29056.43,24.4,-81.79,0.6
1.05,0.84,27929.05,24.21,-76.37,0.6
1.09,0.74,27444.65,24.13,-85.26,0.6
1.09,0.73,27444.65,24.13,-85.26,0.6
1.09,0.75,27444.65,24.13,-85.26,0.6
1.09,0.72,27444.65,24.13,-85.26,0.6
1.09,0.76,27444.65,24.13,-85.26,0.6
1.1,0.81,27419.87,24.13,-78.3,0.6
1.02,0.84,27415.22,24.13,-76.37,0.6
1.0,0.83,26600.14,23.98,-75.98,0.6
1.11,0.82,26542.71,23.97,-77.76,0.6
1.04,0.85,26516.12,23.97,-75.92,0.61
1.02,0.77,26258.91,23.92,-81.79,0.6
1.08,0.71,26152.79,23.9,-86.78,0.6
1.07,0.71,26152.79,23.9,-86.78,0.6
1.06,0.71,26152.79,23.9,-86.78,0.6
1.1,0.8,25923.14,23.86,-79.31,0.6
1.03,0.88,25707.1,23.82,-72.33,0.61
1.01,0.79,25347.72,23.75,-81.6,0.59
1.06,0.79,25148.99,23.72,-81.79,0.6
1.06,0.78,25148.99,23.72,-81.79,0.6
1.01,0.78,25131.2,23.71,-81.6,0.59
1.11,0.81,25006.31,23.69,-77.76,0.6
1.09,0.71,24608.01,23.61,-86.78,0.59
1.01,0.84,24593.18,23.61,-76.13,0.59
1.13,0.83,24427.73,23.58,-75.5,0.59
1.12,0.83,24427.73,23.58,-75.5,0.59
1.03,0.87,24253.96,23.54,-72.33,0.6
1.1,0.75,24211.03,23.54,-85.09,0.59
1.1,0.72,24211.03,23.54,-85.09,0.59
1.1,0.73,24211.03,23.54,-85.09,0.59
1.1,0.76,24211.03,23.54,-85.09,0.59
1.1,0.74,24211.03,23.54,-85.09,0.59
1.02,0.76,23991.83,23.49,-85.26,0.59
1.06,0.77,23814.34,23.46,-81.79,0.59
